City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
533,Texarkana,US,79.0,Clouds,33.43,-94.05,Holiday Inn Express & Suites Texarkana
535,Coahuayana,MX,84.2,Clouds,18.73,-103.68,Hotel Los Arcos
536,Vanimo,PG,80.31,Rain,-2.67,141.3,Vahmoneh Lodge Vanimo
537,Teacapan,MX,87.3,Clouds,22.55,-105.75,Hotel los Mangos
543,Puerto Carreno,CO,85.55,Clouds,6.19,-67.49,Casa Hotel Victoria
547,Bobo Dioulasso,BF,82.4,Rain,11.18,-4.3,Rasma Bed and Breakfast
549,Umm Lajj,SA,84.54,Clear,25.02,37.27,Moon light Furnished Units
551,Cayon,KN,84.2,Clouds,17.35,-62.73,Ottley's Plantation Inn
557,Manokwari,ID,80.26,Rain,-0.87,134.08,Swiss Belhotel Manokwari
563,Meulaboh,ID,76.01,Clouds,4.14,96.13,Kost Pria
565,Mitu,CO,82.0,Clouds,1.2,-70.17,
568,The Valley,AI,84.2,Clouds,18.22,-63.06,CeBlue Villas & Beach Resort
569,Kulhudhuffushi,MV,81.99,Clouds,6.62,73.07,Haajy Guest House 1
570,Pozo Colorado,PY,82.67,Clouds,-23.49,-58.8,Hospedaje la Amistad
574,Rodos,GR,75.2,Clouds,36.44,28.22,Spirit of the Knights Boutique Hotel
575,Massaguet,TD,80.6,Clear,12.48,15.44,Alwatane
576,Pacifica,US,82.4,Clouds,37.61,-122.49,"Pacifica Lighthouse, Trademark Collection by Wyndham"
578,Soyo,AO,77.31,Clouds,-6.13,12.37,Hotel Mpampa
581,Ayolas,PY,82.98,Clear,-27.4,-56.9,Hotel Ayolas
583,Tautira,PF,84.2,Clouds,-17.73,-149.15,Pension Oaoa
584,Liku,ID,75.58,Clouds,-0.73,119.89,Agoes Liverpool
589,Pochutla,MX,90.0,Clouds,15.74,-96.47,Hotel Posada San Jose
590,Ahuimanu,US,84.2,Clouds,21.44,-157.84,Paradise Bay Resort
595,Tanout,NE,88.65,Clear,14.97,8.89,
597,Namatanai,PG,83.66,Clear,-3.67,152.43,Namatanai Hotel
604,Santa Ana,US,86.0,Clouds,33.75,-117.87,Best Western Plus Orange County Airport North
610,Lang Suan,TH,75.88,Rain,9.95,99.08,Langsuan Resort
611,Kabrai,IN,80.67,Clear,25.42,80.02,Bharat concrete Udyog
613,Kutum,SD,76.5,Clear,14.2,24.67,Dibbo areaمنطقة دبو
614,Barra Do Garcas,BR,80.29,Rain,-15.89,-52.26,Hotel Pousada Tropical
615,Kyabe,TD,75.56,Clouds,9.45,18.94,
617,Sao Raimundo Das Mangabeiras,BR,87.58,Clouds,-7.02,-45.48,Hotel Tropical
619,Skeldon,GY,80.47,Clouds,5.88,-57.13,Rits Hotel
620,Kerema,PG,78.39,Rain,-7.96,145.78,Elore Lodge
621,Sokoni,TZ,79.09,Clear,-6.43,39.55,Ujamaa Beach Resort
623,Bethlehem,BR,80.6,Clouds,-1.46,-48.5,Mercure Belém Boulevard Hotel
624,Daryapur,IN,75.58,Clouds,20.93,77.33,Pathan Pura Masjid
627,Kudahuvadhoo,MV,82.2,Rain,2.67,72.89,Kudahuvadhoo Retreat
632,Alugan,PH,79.39,Clouds,12.22,125.48,BEMBEM RAIN FEED RESORT
638,Santa Rosa,PH,78.8,Clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
645,Mocajuba,BR,78.87,Rain,-2.58,-49.51,Hotel Tocantins
646,Los Llanos De Aridane,ES,75.2,Clouds,28.66,-17.92,Valle Aridane
647,Bubaque,GW,82.51,Clear,11.28,-15.83,Casa Dora - Mango Lodge
649,Ormara,PK,80.35,Clouds,25.21,64.64,
651,San Vicente,AR,76.82,Rain,-26.62,-54.13,Complejo Turístico Farelluk
655,Amapa,BR,82.53,Clouds,1.0,-52.0,
659,Bilma,NE,82.62,Clear,18.69,12.92,Expeditions Ténére voyages
663,Machiques,VE,83.93,Rain,10.06,-72.55,"Mi Casita Club, Machiques"
666,Kokopo,PG,80.67,Clouds,-4.35,152.26,Kokopo Beach Bungalow Resort
667,Ashqelon,IL,75.2,Clouds,31.67,34.57,Leonardo Ashkelon
669,Kloulklubed,PW,82.4,Rain,7.04,134.26,Storyboard Beach Resort
671,Susanville,US,79.0,Clear,40.42,-120.65,Red Lion Inn & Suites Susanville
672,Tigre,AR,90.0,Clouds,-34.43,-58.58,Puerto Delta Apartamentos
673,Speightstown,BB,84.2,Clouds,13.25,-59.65,Legend Garden Condos
684,Ambulu,ID,75.04,Clouds,-8.35,113.61,Hotel Ambulu Jember
685,Majene,ID,77.81,Clouds,-3.54,118.97,Kost Putri RABBANI
686,Sao Miguel Do Araguaia,BR,82.56,Rain,-13.28,-50.16,Hotel Executivo Palace
691,Ondjiva,AO,76.39,Clear,-17.07,15.73,SOS Motel
693,Bombay,IN,82.4,Haze,19.01,72.85,Four Seasons Hotel Mumbai
